add	cộng, thêm vào
mainly	chính, chủ yếu, phần lớn
maintain	giữ gìn, duy trì, bảo vệ
major	lớn, nhiều hơn, trọng đại, chủ yếu
make	làm, chế tạo; sự chế tạo
quarter	4, 15 phút
queen	nữ hoàng
question	câu hỏi; hỏi, chất vấn
quick	nhanh
race	loài, chủng, giống; cuộc đua; đua
racing	cuộc đua
radio	sóng vô tuyến, radio
rail	đường ray
railway	đường sắt
rain	mưa, cơn mưa; mưa
sack	bào tải; đóng bao, bỏ vào bao
sad	buồn, buồn bã
safe	an toàn, chắc chắn, đáng tin
safety	sự an toàn, sự chắc chăn
table	cái bàn
tablet	tấm, bản, thẻ phiến
tail	đuôi, đoạn cuối
take	sự cầm nắm, sự lấy
ultimate	cuối cùng, sau cùng
umbrella	ô, dù
vacation	kỳ nghỉ hè, kỳ nghỉ lễ; ngày nghỉ, ngày lễ
valid	chắc chắn, hiệu quả, hợp lý
valley	thung lũng
valuable	có giá trị lớn, đáng giá
value	giá trị, ước tính, định giá
van	tiền đội, quân tiên phong; xe tải
vote	sự bỏ phiếu, sự bầu cử; bỏ phiếu, bầu cử
wage	tiền lương, tiền công
wake	thức dậy, tỉnh thức
well	tốt, giỏi; ôi, may quá!
live	sống
march	diễu hành, hành quân; cuộc hành quân, cuộc diễu hành
miss	cô gái, thiếu nữ
mum	mẹ
unnecessary	không cần thiết, không mong muốn
each other	nhau, lẫn nhau
penny	số tiền
bored	chán nản
hello	xin chào
